,service_date,day_type,bus,rail_boardings,total_rides
1179,06/10/2013,W,993550,731202,1724752
1180,09/05/2007,W,1097897,689499,1787396
1181,11/14/2004,U,413442,221405,634847
1182,10/21/2014,W,947668,814300,1761968
1183,06/20/2004,U,431055,231581,662636
1184,01/19/2001,W,909964,583851,1493815
1185,10/10/2013,W,1041043,803786,1844829
1186,06/24/2010,W,931520,691266,1622786
1187,08/11/2001,A,607614,323141,930755
1188,02/16/2009,W,765356,486133,1251489
1189,11/03/2006,W,959706,654291,1613997
1190,07/16/2013,W,924281,695896,1620177
1191,09/16/2009,W,1108929,732849,1841778
1192,11/04/2009,W,1105418,695322,1800740
1193,09/14/2006,W,1054398,719561,1773959
1194,08/31/2016,W,815110,779334,1594444
1195,01/01/2001,U,297192,126455,423647
1196,11/01/2021,W,452937,300996,753933
1197,04/24/2006,W,998455,642816,1641271
1198,10/25/2015,U,415182,368100,783282
1199,04/08/2009,W,963532,642963,1606495
1200,01/11/2001,W,995561,607503,1603064
1201,01/25/2018,W,813348,743858,1557206
1202,08/16/2023,W,518485,390193,908678
1203,02/17/2021,W,278930,149828,428758
1204,09/15/2003,W,1015639,653569,1669208
1205,08/12/2017,A,505271,477767,983038
1206,12/17/2010,W,932601,642967,1575568
1207,06/26/2021,A,232678,190791,423469
1208,12/06/2004,W,1000415,587577,1587992
1209,04/14/2002,U,438900,210876,649776
1210,12/17/2007,W,968005,564404,1532409
1211,05/02/2013,W,1028782,752135,1780917
1212,07/06/2014,U,410521,354469,764990
1213,12/23/2005,W,878003,479373,1357376
1214,04/07/2005,W,1001832,612048,1613880
1215,03/09/2014,U,405308,328025,733333
1216,09/12/2011,W,1077578,756209,1833787
1217,09/03/2018,U,330488,293772,624260
1218,08/29/2004,U,407683,243215,650898
1219,02/22/2018,W,833819,743449,1577268
1220,01/29/2012,U,416383,293146,709529
1221,08/14/2006,W,857738,595551,1453289
1222,03/28/2005,W,968792,568013,1536805
1223,12/06/2010,W,944575,641755,1586330
1224,12/10/2011,A,604502,435343,1039845
1225,01/22/2013,W,865232,654679,1519911
1226,08/26/2009,W,921926,651492,1573418
1227,09/18/2015,W,895702,853094,1748796
1228,06/06/2003,W,962917,615632,1578549
1229,06/28/2016,W,771611,748753,1520364
1230,02/22/2020,A,463771,344117,807888
1231,03/06/2016,U,393610,327173,720783
1232,08/17/2022,W,451427,335610,787037
1233,04/30/2009,W,999397,660465,1659862
1234,11/21/2014,W,898889,787291,1686180
1235,12/19/2002,W,1020038,590493,1610531
1236,06/14/2010,W,955902,662467,1618369
1237,06/16/2002,U,456833,225229,682062
1238,09/29/2002,U,421618,232441,654059
1239,06/30/2001,A,649995,363078,1013073
1240,12/27/2021,W,276748,170801,447549
1241,03/29/2015,U,362329,325865,688194
1242,09/03/2012,U,509576,366891,876467
1243,09/29/2018,A,492591,500479,993070
1244,11/10/2019,U,353042,292170,645212
1245,11/10/2018,A,465852,385710,851562
1246,04/12/2007,W,1015749,617734,1633483
1247,11/27/2004,A,472803,246053,718856
1248,05/26/2023,W,497832,356184,854016
1249,04/19/2003,A,562148,263464,825612
1250,05/05/2014,W,963691,769476,1733167
1251,07/03/2010,A,688185,498374,1186559
1252,03/20/2013,W,980735,721345,1702080
1253,04/13/2013,A,600393,462508,1062901
1254,03/26/2004,W,858131,557755,1415886
1255,12/29/2022,W,347158,231287,578445
1256,05/25/2022,W,461780,319883,781663
1257,01/13/2011,W,969691,661269,1630960
1258,02/10/2008,U,300232,176228,476460
1259,04/08/2011,W,1006956,701186,1708142
1260,05/02/2021,U,195776,126355,322131
1261,06/09/2020,W,245154,98717,343871
1262,06/26/2011,U,513140,561689,1074829
1263,06/08/2007,W,1025937,653397,1679334
1264,05/06/2022,W,429700,298387,728087
1265,08/23/2005,W,907676,616739,1524415
1266,01/08/2005,A,533884,261042,794926
1267,01/31/2010,U,437345,249932,687277
1268,02/28/2018,W,837820,736868,1574688
1269,08/26/2008,W,1051063,653148,1704211
1270,06/23/2017,W,729483,747333,1476816
1271,07/21/2001,A,593545,305457,899002
1272,07/03/2024,W,575361,404738,980099
1273,10/13/2014,W,743512,714675,1458187
1274,08/25/2001,A,518211,290626,808837
1275,04/19/2001,W,917518,596505,1514023
1276,03/29/2011,W,1018975,688681,1707656
1277,05/31/2004,U,352611,210076,562687
1278,04/22/2021,W,336610,187886,524496
1279,10/28/2013,W,982644,768974,1751618
1280,05/25/2003,U,408454,223466,631920
1281,10/08/2024,W,652969,459661,1112630
1282,01/21/2017,A,488902,582031,1070933
1283,04/28/2001,A,624970,289747,914717
1284,06/16/2005,W,931626,603660,1535286
1285,10/26/2002,A,626185,331030,957215
1286,03/17/2004,W,932468,589641,1522109
1287,09/24/2009,W,1099145,712276,1811421
1288,11/20/2019,W,839934,756096,1596030
1289,04/22/2015,W,925517,780432,1705949
1290,04/06/2010,W,984899,664805,1649704
1291,06/25/2010,W,941751,750414,1692165
1292,07/16/2001,W,880246,623660,1503906
1293,12/17/2018,W,791252,668008,1459260
1294,04/15/2017,A,506929,453975,960904
1295,09/28/2011,W,1053206,759071,1812277
1296,04/11/2020,A,161743,59808,221551
1297,03/04/2003,W,964967,606043,1571010
1298,07/21/2024,U,336062,262703,598765
1299,11/28/2011,W,1016597,703558,1720155
1300,10/13/2023,W,519462,373986,893448
1301,05/29/2022,U,239199,246793,485992
1302,05/12/2021,W,337223,193841,531064
1303,01/03/2020,W,688165,578202,1266367
1304,05/09/2024,W,569230,406557,975787
1305,12/12/2002,W,1015667,602683,1618350
1306,08/15/2013,W,877526,705604,1583130
1307,02/27/2004,W,980935,589768,1570703
1308,06/30/2024,U,332479,322925,655404
1309,06/03/2003,W,992041,610279,1602320
1310,09/07/2020,U,189391,104992,294383
1311,02/26/2008,W,970886,605240,1576126
1312,10/11/2016,W,884539,805839,1690378
1313,05/22/2007,W,1044661,627087,1671748
1314,08/26/2011,W,997931,710247,1708178
1315,09/01/2021,W,483883,302972,786855
1316,01/13/2016,W,787220,716663,1503883
1317,07/23/2019,W,754783,731712,1486495
1318,06/03/2013,W,1054416,707210,1761626
1319,06/30/2022,W,434307,354302,788609
1320,05/06/2014,W,974250,784430,1758680
1321,11/08/2008,A,675404,398288,1073692
1322,02/26/2019,W,773049,699462,1472511
1323,01/01/2014,U,281657,303441,585098
1324,11/28/2015,A,459598,396926,856524
1325,05/25/2009,U,409208,258452,667660
1326,03/27/2001,W,1017904,600914,1618818
1327,08/13/2014,W,817833,745654,1563487
1328,01/05/2011,W,950712,624027,1574739
1329,01/20/2007,A,576490,316657,893147
1330,03/06/2003,W,874641,573715,1448356
1331,06/13/2018,W,783799,759987,1543786
1332,11/26/2007,W,1009519,612439,1621958
1333,11/12/2008,W,1081236,679826,1761062
1334,04/18/2005,W,1015285,609637,1624922
1335,05/25/2016,W,833427,754244,1587671
1336,05/23/2010,U,490423,322958,813381
1337,04/28/2021,W,303689,172569,476258
1338,03/23/2014,U,418299,315092,733391
1339,02/28/2001,W,990416,610013,1600429
1340,08/31/2010,W,980388,693348,1673736
1341,03/31/2015,W,922487,753405,1675892
1342,11/20/2001,W,1005581,612391,1617972
1343,06/07/2010,W,1001595,679492,1681087
1344,09/04/2004,A,653547,326695,980242
1345,05/30/2020,A,210004,69848,279852
1346,12/22/2004,W,725010,473787,1198797
1347,09/17/2018,W,839178,794968,1634146
1348,06/24/2008,W,1046337,666522,1712859
1349,06/06/2015,A,606641,511352,1117993
1350,11/20/2004,A,627629,371415,999044
1351,01/29/2002,W,979719,597598,1577317
1352,03/17/2015,W,934438,770081,1704519
1353,02/21/2020,W,782853,675973,1458826
1354,03/08/2013,W,1047924,716118,1764042
1355,07/10/2019,W,750223,735504,1485727
1356,06/27/2003,W,890776,661150,1551926
1357,11/26/2018,W,681371,647084,1328455
1358,05/09/2016,W,815440,736551,1551991
1359,01/15/2010,W,1043125,634202,1677327
1360,02/22/2017,W,873309,758299,1631608
1361,02/06/2021,A,161437,89065,250502
1362,05/23/2014,W,906712,763127,1669839
1363,02/26/2006,U,386242,211388,597630
1364,01/29/2022,A,216590,160644,377234
1365,09/05/2003,W,1044868,634834,1679702
1366,01/12/2023,W,474679,340171,814850
1367,10/03/2011,W,1091676,751034,1842710
1368,07/04/2009,A,540914,394405,935319
1369,06/22/2013,A,633702,488805,1122507
1370,05/27/2006,A,646979,358425,1005404
1371,07/16/2018,W,731999,700335,1432334
1372,10/19/2019,A,499700,467794,967494
1373,06/20/2022,W,365955,257700,623655
1374,12/04/2005,U,394671,232929,627600
1375,10/01/2024,W,675858,457355,1133213
1376,07/13/2001,W,957097,641244,1598341
1377,04/09/2019,W,791556,747311,1538867
1378,08/25/2002,U,441076,227484,668560
1379,11/16/2014,U,372383,331794,704177
1380,10/16/2012,W,1081929,792993,1874922
1381,08/27/2001,W,900370,590849,1491219
1382,01/12/2024,W,368347,239249,607596
1383,07/30/2004,W,918563,599378,1517941
1384,06/15/2012,W,996431,803508,1799939
1385,10/22/2005,A,624399,385602,1010001
1386,05/11/2012,W,1042715,745296,1788011
1387,09/04/2018,W,864262,756397,1620659
1388,07/14/2010,W,938980,670046,1609026
1389,08/01/2008,W,1081564,766911,1848475
1390,08/22/2003,W,867524,576202,1443726
1391,02/17/2024,A,340993,224306,565299
1392,03/03/2003,W,822165,535306,1357471
1393,01/17/2021,U,143923,72570,216493
1394,12/29/2012,A,547238,360962,908200
1395,08/15/2008,W,1038006,651338,1689344
1396,02/21/2018,W,831241,740388,1571629
1397,12/09/2005,W,922330,630309,1552639
1398,12/07/2006,W,921792,603900,1525692
1399,03/08/2012,W,1049305,735123,1784428
1400,11/15/2020,U,136434,75619,212053
1401,04/06/2014,U,435676,373726,809402
1402,03/27/2009,W,969091,614690,1583781
1403,04/06/2017,W,822266,771468,1593734
1404,10/03/2004,U,450247,252513,702760
1405,12/13/2023,W,559461,378896,938357
1406,05/31/2002,W,1040502,635809,1676311
1407,02/10/2024,A,373420,231891,605311
1408,08/11/2008,W,969826,623874,1593700
1409,05/10/2012,W,1036368,743841,1780209
1410,08/09/2013,W,906417,711160,1617577
1411,06/19/2005,U,459729,243775,703504
1412,11/09/2002,A,630142,329264,959406
1413,10/26/2016,W,824006,782126,1606132
1414,01/28/2008,W,1025845,623259,1649104
1415,02/03/2018,A,435554,344309,779863
1416,11/22/2007,U,294447,157890,452337
1417,09/21/2016,W,863211,814264,1677475
1418,11/06/2022,U,237292,195418,432710
1419,06/17/2021,W,372186,247900,620086
1420,07/30/2016,A,503786,576267,1080053
1421,06/08/2010,W,931456,652565,1584021
1422,06/28/2018,W,751395,758891,1510286
1423,10/18/2016,W,901884,810090,1711974
1424,09/21/2002,A,674983,330553,1005536
1425,10/19/2008,U,537382,296713,834095
1426,11/28/2022,W,472849,306743,779592
1427,09/21/2023,W,581536,449600,1031136
1428,10/15/2002,W,1068455,653527,1721982
1429,07/01/2003,W,957351,634210,1591561
1430,03/29/2023,W,470430,353192,823622
1431,04/02/2020,W,214222,95183,309405
1432,04/01/2011,W,960123,712981,1673104
1433,08/19/2008,W,1012560,662493,1675053
1434,06/12/2008,W,1026283,681143,1707426
1435,05/31/2016,W,801439,753953,1555392
1436,01/26/2023,W,484428,350067,834495
1437,12/26/2022,U,205368,123005,328373
1438,10/24/2016,W,869861,779618,1649479
1439,04/20/2002,A,574009,300177,874186
1440,02/03/2009,W,1058730,636578,1695308
1441,12/20/2001,W,987827,586572,1574399
1442,11/13/2016,U,369986,338339,708325
1443,08/25/2017,W,749192,741123,1490315
1444,05/13/2017,A,504045,427964,932009
1445,08/27/2008,W,1040926,650396,1691322
1446,04/24/2007,W,1054294,631249,1685543
1447,10/31/2015,A,500004,418362,918366
1448,06/12/2023,W,457944,327050,784994
1449,04/08/2007,U,374365,189557,563922
1450,02/15/2012,W,1051929,726359,1778288
1451,11/28/2008,W,668376,363454,1031830
1452,01/05/2009,W,1012207,591455,1603662
1453,03/08/2005,W,1009879,597987,1607866
1454,12/29/2018,A,394088,307105,701193
1455,01/06/2005,W,862750,554283,1417033
1456,09/05/2022,U,236613,180944,417557
1457,05/07/2011,A,642855,443268,1086123
1458,10/27/2001,A,582223,291912,874135
1459,11/30/2011,W,1043354,730140,1773494
1460,04/26/2011,W,1009393,717303,1726696
1461,09/25/2004,A,627583,322940,950523
1462,07/02/2020,W,320859,149071,469930
1463,01/03/2005,W,894571,512620,1407191
1464,12/21/2013,A,513799,421443,935242
1465,11/02/2011,W,1077675,764539,1842214
1466,12/14/2002,A,653848,325639,979487
1467,02/13/2022,U,175728,133282,309010
1468,08/29/2018,W,752668,767691,1520359
1469,10/21/2017,A,520339,481334,1001673
1470,10/10/2003,W,1031598,661985,1693583
1471,01/20/2012,W,826497,746064,1572561
1472,09/25/2019,W,859089,781453,1640542
1473,02/14/2004,A,610834,301728,912562
1474,03/25/2024,W,474355,319635,793990
1475,07/13/2019,A,496000,471671,967671
1476,05/10/2013,W,972916,725511,1698427
1477,01/23/2012,W,1010116,710762,1720878
1478,03/14/2015,A,605758,673707,1279465
1479,02/03/2023,W,367206,247871,615077
1480,07/18/2007,W,939708,654848,1594556
1481,02/24/2004,W,957453,588493,1545946
1482,10/29/2006,U,434824,265624,700448
1483,08/12/2003,W,864526,595230,1459756
1484,01/16/2017,W,486791,435039,921830
1485,12/01/2003,W,998632,601364,1599996
1486,11/28/2002,U,297477,145995,443472
1487,02/27/2019,W,797800,711827,1509627
1488,12/16/2018,U,353013,309297,662310
1489,11/24/2004,W,835824,550778,1386602
1490,11/29/2023,W,553418,387126,940544
1491,06/04/2002,W,915667,575065,1490732
1492,07/13/2024,A,424138,300881,725019
1493,07/16/2015,W,802468,762144,1564612
1494,10/06/2021,W,474666,317494,792160
1495,07/23/2018,W,742296,746950,1489246
1496,02/23/2016,W,890949,765309,1656258
1497,01/14/2021,W,275747,137634,413381
1498,06/20/2006,W,889908,636659,1526567
1499,04/02/2003,W,1020829,602855,1623684
1500,03/24/2007,A,619377,326859,946236
1501,05/18/2010,W,976377,669846,1646223
1502,07/04/2020,A,188378,94601,282979
1503,12/20/2006,W,975226,586048,1561274
1504,04/14/2012,A,644498,470545,1115043
1505,05/28/2004,W,978308,574148,1552456
1506,10/06/2013,U,468784,350969,819753
1507,07/08/2004,W,909149,580508,1489657
1508,10/11/2014,A,584377,527418,1111795
1509,11/23/2007,W,619195,356064,975259
1510,10/03/2006,W,1064774,681381,1746155
1511,08/05/2002,W,941406,569627,1511033
1512,09/17/2021,W,469512,377373,846885
1513,04/19/2018,W,774579,749646,1524225
1514,08/24/2010,W,962622,674401,1637023
1515,03/20/2012,W,1043797,718050,1761847
1516,03/26/2016,A,518549,415919,934468
1517,08/14/2013,W,882740,717664,1600404
1518,06/17/2012,U,497166,372514,869680
1519,12/25/2022,U,85188,55366,140554
1520,09/30/2007,U,463947,239074,703021
1521,03/01/2014,A,559952,448218,1008170
1522,01/05/2024,W,445488,280897,726385
1523,02/23/2017,W,850254,751257,1601511
1524,09/09/2016,W,879935,784678,1664613
1525,12/08/2008,W,1039370,618281,1657651
1526,03/03/2001,A,678870,286786,965656
1527,03/28/2001,W,1007699,601999,1609698
1528,03/23/2016,W,838201,714672,1552873
1529,08/03/2012,W,997248,828673,1825921
1530,01/17/2022,W,247901,160202,408103
1531,04/19/2021,W,307407,165608,473015
1532,02/24/2018,A,461537,387230,848767
1533,07/08/2011,W,973648,738968,1712616
1534,11/21/2011,W,1039312,726360,1765672
1535,03/24/2013,U,401250,288966,690216
1536,06/16/2009,W,913925,644994,1558919
1537,04/03/2009,W,1094889,653334,1748223
1538,01/31/2003,W,929004,577555,1506559
1539,06/06/2008,W,1087144,661938,1749082
1540,02/24/2003,W,908324,574013,1482337
1541,12/08/2002,U,396717,202070,598787
1542,05/08/2022,U,204641,167467,372108
1543,09/21/2003,U,421320,231095,652415
1544,09/25/2022,U,229013,196621,425634
1545,03/25/2018,U,331496,306710,638206
1546,06/29/2010,W,919886,716597,1636483
1547,04/28/2006,W,1008989,666532,1675521
1548,08/12/2021,W,381061,280760,661821
1549,01/26/2007,W,901880,600561,1502441
1550,02/16/2008,A,649814,336935,986749
1551,07/05/2010,U,490386,338754,829140
1552,10/03/2010,U,451850,307659,759509
1553,09/29/2007,A,678705,358750,1037455
1554,09/16/2016,W,889307,843488,1732795
1555,12/19/2019,W,745959,664554,1410513
1556,07/19/2013,W,897959,775821,1673780
1557,09/22/2009,W,1098839,708391,1807230
1558,04/17/2003,W,815274,563613,1378887
1559,07/01/2019,W,751938,691817,1443755
1560,04/25/2024,W,615343,428724,1044067
1561,01/31/2017,W,828074,741389,1569463
1562,01/17/2018,W,787021,713680,1500701
1563,03/29/2003,A,555638,280361,835999
1564,07/18/2005,W,902531,582649,1485180
1565,08/05/2015,W,831758,765442,1597200
1566,09/16/2011,W,1061833,774553,1836386
1567,01/13/2012,W,940512,692943,1633455
1568,05/21/2009,W,1070609,663646,1734255
1569,08/04/2009,W,966555,645725,1612280
1570,01/14/2020,W,807239,720277,1527516
1571,07/28/2019,U,399059,314226,713285
1572,07/28/2012,A,686178,517111,1203289
1573,12/09/2020,W,293699,143390,437089
1574,07/08/2016,W,786823,790177,1577000
1575,11/16/2023,W,580758,415406,996164
1576,10/21/2022,W,462718,343986,806704
1577,12/10/2023,U,264202,196318,460520
1578,07/18/2002,W,942643,596288,1538931
1579,05/06/2021,W,322453,187545,509998
1580,01/24/2024,W,549204,389714,938918
1581,03/19/2007,W,1007874,607303,1615177
1582,05/20/2018,U,321817,288853,610670
1583,05/09/2004,U,441379,221375,662754
1584,01/01/2023,U,164489,140776,305265
1585,06/21/2003,A,610796,345895,956691
1586,07/17/2023,W,480822,349113,829935
1587,10/08/2019,W,868009,773805,1641814
1588,04/09/2014,W,977698,805182,1782880
1589,06/25/2019,W,790945,756023,1546968
1590,03/27/2010,A,608093,373225,981318
1591,03/12/2007,W,1009154,613447,1622601
1592,07/25/2011,W,932136,698802,1630938
1593,06/17/2001,U,422714,237483,660197
1594,12/14/2009,W,1003184,616209,1619393
1595,04/22/2001,U,384255,185526,569781
1596,01/03/2009,A,580506,293634,874140
1597,02/04/2007,U,266510,162712,429222
1598,11/09/2023,W,588110,454074,1042184
1599,01/29/2021,W,285439,148439,433878
1600,08/20/2020,W,317199,160843,478042
1601,03/06/2024,W,595103,393574,988677
1602,08/21/2024,W,528372,364450,892822
1603,12/09/2022,W,434379,310116,744495
1604,02/06/2007,W,850354,564981,1415335
1605,09/13/2019,W,822197,800812,1623009
1606,07/29/2021,W,394751,362106,756857
1607,09/19/2009,A,721408,415652,1137060
1608,09/19/2003,W,1019769,642616,1662385
1609,10/27/2015,W,916953,824772,1741725
1610,09/04/2017,U,375104,326524,701628
1611,10/19/2014,U,424169,393552,817721
1612,12/10/2004,W,1010307,598887,1609194
1613,08/30/2019,W,761440,717490,1478930
1614,02/22/2012,W,1052160,732150,1784310
1615,05/11/2003,U,322449,193398,515847
1616,03/09/2017,W,841498,748709,1590207
1617,03/06/2004,A,602180,296173,898353
1618,04/27/2014,U,400302,344503,744805
1619,01/14/2013,W,964972,701958,1666930
1620,09/27/2018,W,858664,847133,1705797
1621,12/20/2008,A,589697,335672,925369
1622,11/21/2009,A,702789,482859,1185648
1623,10/07/2003,W,1051869,699907,1751776
1624,10/19/2007,W,974134,654836,1628970
1625,10/28/2018,U,334541,315184,649725
1626,02/08/2001,W,1007760,610237,1617997
1627,06/20/2008,W,996558,662324,1658882
1628,12/05/2014,W,937187,800885,1738072
1629,03/27/2006,W,962206,601488,1563694
1630,11/21/2013,W,967167,799283,1766450
1631,08/09/2020,U,175080,93832,268912
1632,06/03/2002,W,1001778,583147,1584925
1633,05/14/2006,U,411861,249652,661513
1634,11/16/2022,W,501388,367015,868403
1635,12/14/2019,A,471203,367508,838711
1636,12/30/2002,W,773707,469806,1243513
1637,11/18/2003,W,881272,608253,1489525
1638,10/20/2003,W,1077011,632330,1709341
1639,12/15/2024,U,277186,198006,475192
1640,05/03/2020,U,155791,49160,204951
1641,03/12/2020,W,737628,601682,1339310
1642,05/16/2014,W,900252,764035,1664287
1643,11/03/2012,A,675546,462962,1138508
1644,03/19/2004,W,988154,593249,1581403
1645,09/08/2009,W,1004429,709373,1713802
1646,05/19/2016,W,855438,772464,1627902
1647,07/02/2016,A,530654,448200,978854
1648,06/01/2007,W,1079848,654251,1734099
1649,05/16/2008,W,1110816,668057,1778873
1650,02/04/2003,W,980582,597044,1577626
1651,03/12/2012,W,1015965,715585,1731550
1652,05/31/2005,W,968847,591522,1560369
1653,05/11/2022,W,481802,332548,814350
1654,06/26/2005,U,456191,354882,811073
1655,09/05/2010,U,497194,399389,896583
1656,05/24/2011,W,1019381,719974,1739355
1657,03/13/2016,U,332203,303129,635332
1658,07/01/2015,W,886380,762718,1649098
1659,11/30/2014,U,367831,311435,679266
1660,07/31/2024,W,553120,451191,1004311
1661,07/16/2011,A,671209,512671,1183880
1662,06/12/2002,W,986714,606658,1593372
1663,11/17/2001,A,653210,354828,1008038
1664,07/03/2021,A,292341,215230,507571
1665,11/24/2024,U,301518,222021,523539
1666,11/06/2009,W,1015815,683216,1699031
1667,03/15/2016,W,887592,769441,1657033
1668,09/12/2015,A,553239,530282,1083521
1669,10/17/2015,A,578160,546096,1124256
1670,05/29/2016,U,409978,430982,840960
1671,08/28/2009,W,974302,674306,1648608
1672,05/08/2012,W,1062602,762274,1824876
1673,12/15/2006,W,1002739,632077,1634816
1674,09/21/2024,A,433756,343362,777118
1675,07/11/2020,A,233152,112641,345793
1676,03/16/2016,W,876232,779846,1656078
1677,12/21/2022,W,449539,293415,742954
1678,10/20/2021,W,470815,323794,794609
1679,08/09/2012,W,910038,733293,1643331
1680,05/26/2008,U,460848,274870,735718
1681,01/26/2016,W,872768,764023,1636791
1682,03/24/2018,A,424609,389468,814077
1683,10/14/2020,W,334911,172419,507330
1684,12/14/2012,W,1022704,749478,1772182
1685,09/20/2017,W,887017,795055,1682072
1686,07/06/2020,W,301317,143054,444371
1687,09/21/2020,W,312717,160531,473248
1688,02/10/2002,U,379613,180097,559710
1689,12/24/2001,W,525908,257022,782930
1690,05/07/2015,W,956437,810302,1766739
1691,12/09/2007,U,423634,215699,639333
1692,05/24/2004,W,964387,572310,1536697
1693,02/14/2001,W,1004304,610966,1615270
1694,05/03/2012,W,1086032,766616,1852648
1695,09/03/2002,W,1106907,625970,1732877
1696,02/23/2007,W,999849,617663,1617512
1697,02/28/2006,W,987195,623237,1610432
1698,09/09/2022,W,506174,373012,879186
1699,03/17/2022,W,463068,336933,800001
1700,08/12/2024,W,511004,367635,878639
1701,08/09/2024,W,534634,407471,942105
1702,12/30/2017,A,335207,276381,611588
1703,01/17/2019,W,800348,734929,1535277
1704,06/12/2010,A,600914,444278,1045192
1705,11/22/2023,W,443954,298121,742075
1706,03/07/2012,W,1060619,736849,1797468
1707,11/27/2006,W,1012191,628799,1640990
1708,07/02/2015,W,850667,773838,1624505
1709,08/10/2006,W,856682,614321,1471003
1710,08/17/2018,W,702584,697625,1400209
1711,02/14/2010,U,486887,309746,796633
1712,09/25/2023,W,552311,370891,923202
1713,05/17/2007,W,1043033,627116,1670149
1714,05/28/2017,U,366179,344784,710963
1715,11/15/2021,W,427781,292876,720657
1716,01/02/2011,U,364165,225886,590051
1717,03/12/2006,U,400822,233603,634425
1718,12/05/2018,W,816399,736966,1553365
1719,02/14/2011,W,1064293,708790,1773083
1720,07/24/2014,W,833052,790076,1623128
1721,10/06/2018,A,471199,466775,937974
1722,07/28/2005,W,923931,626164,1550095
1723,08/26/2012,U,425118,326682,751800
1724,09/17/2002,W,1064546,644444,1708990
1725,03/18/2023,A,284653,199267,483920
1726,12/01/2020,W,290906,138364,429270
1727,02/20/2021,A,192157,112011,304168
1728,07/15/2010,W,934492,715607,1650099
1729,08/29/2014,W,871087,781881,1652968
1730,12/17/2014,W,868378,720814,1589192
1731,11/09/2009,W,1076270,673433,1749703
1732,08/11/2003,W,806587,566910,1373497
1733,08/28/2007,W,986289,648482,1634771
1734,02/16/2004,W,684054,441539,1125593
1735,08/24/2017,W,749315,748046,1497361
1736,09/28/2022,W,530749,399004,929753
1737,04/30/2013,W,1029285,738733,1768018
1738,03/10/2020,W,787025,678996,1466021
1739,10/21/2005,W,1064058,674291,1738349
1740,01/27/2022,W,388880,254620,643500
1741,05/12/2024,U,318883,203067,521950
1742,08/01/2003,W,912597,605206,1517803
1743,09/17/2006,U,433989,294159,728148
1744,12/08/2007,A,636461,326501,962962
1745,12/30/2016,W,628159,524474,1152633
1746,09/27/2024,W,564419,418093,982512
1747,07/05/2017,W,746019,733914,1479933
1748,11/30/2009,W,1048329,650622,1698951
1749,09/11/2001,W,957593,525953,1483546
1750,06/13/2001,W,911372,599114,1510486
1751,06/25/2016,A,531261,506223,1037484
1752,08/08/2018,W,737497,726837,1464334
1753,04/07/2023,W,419926,312653,732579
1754,01/06/2004,W,788158,516396,1304554
1755,10/13/2004,W,1041758,633630,1675388
1756,12/18/2018,W,794636,701867,1496503
1757,06/01/2017,W,860327,771134,1631461
1758,04/02/2019,W,815370,727263,1542633
1759,01/15/2014,W,940266,761924,1702190
1760,01/12/2019,A,382464,325219,707683
1761,11/14/2024,W,620448,439564,1060012
1762,06/11/2023,U,239715,193563,433278
1763,10/10/2012,W,1079860,798154,1878014
1764,01/12/2013,A,597811,403037,1000848
1765,02/28/2024,W,549028,375242,924270
1766,05/16/2021,U,195939,137410,333349
1767,11/28/2024,U,190991,132382,323373
1768,08/24/2001,W,926014,619276,1545290
1769,09/11/2008,W,1156490,719806,1876296
1770,08/31/2020,W,312659,156093,468752
1771,10/28/2019,W,762580,729809,1492389
1772,03/12/2003,W,981590,604333,1585923
1773,09/17/2016,A,537329,524421,1061750
1774,07/16/2020,W,306288,154912,461200
1775,07/13/2010,W,944367,664923,1609290
1776,07/02/2023,U,170177,192380,362557
1777,07/12/2005,W,909026,585394,1494420
1778,01/13/2013,U,379108,266395,645503
1779,05/15/2011,U,386219,279473,665692
1780,03/14/2011,W,1019671,686277,1705948
1781,03/11/2014,W,959134,772592,1731726
1782,01/05/2008,A,568839,280264,849103
1783,03/22/2001,W,1030741,617815,1648556
1784,10/14/2019,W,666607,698402,1365009
1785,07/20/2001,W,937942,610617,1548559
1786,10/03/2012,W,1115762,810692,1926454
1787,01/18/2004,U,342002,178641,520643
1788,09/22/2018,A,497023,464531,961554
1789,09/08/2002,U,439942,218716,658658
1790,11/18/2007,U,451689,224895,676584
1791,09/16/2004,W,1029871,621221,1651092
1792,01/17/2012,W,1016429,725950,1742379
1793,11/21/2018,W,649866,605419,1255285
1794,03/04/2017,A,487500,401568,889068
1795,10/27/2004,W,1034962,628723,1663685
1796,11/12/2010,W,951645,714781,1666426
1797,08/18/2010,W,935381,676787,1612168
1798,10/18/2022,W,499407,372296,871703
1799,02/18/2020,W,815098,711305,1526403
1800,11/12/2019,W,756604,724448,1481052
1801,10/15/2024,W,582685,444249,1026934
1802,01/27/2004,W,906997,586852,1493849
1803,09/05/2018,W,854763,785143,1639906
1804,07/06/2007,W,956208,696508,1652716
1805,11/19/2005,A,643136,395851,1038987
1806,07/28/2015,W,827024,782394,1609418
1807,01/10/2009,A,521906,304657,826563
1808,07/24/2018,W,766503,775343,1541846
1809,12/08/2010,W,968593,662398,1630991
1810,08/01/2018,W,778530,757280,1535810
1811,06/05/2013,W,1024709,716938,1741647
1812,01/04/2012,W,839010,626372,1465382
1813,04/09/2017,U,388435,336277,724712
1814,12/27/2004,W,650769,386604,1037373
1815,09/16/2002,W,1049667,617848,1667515
1816,01/07/2014,W,489810,468681,958491
1817,04/17/2013,W,915006,711500,1626506
1818,02/19/2024,W,417871,271357,689228
1819,11/02/2007,W,1019370,640204,1659574
