,service_date,day_type,bus,rail_boardings,total_rides
539,02/05/2015,W,932148,780378,1712526
540,10/07/2020,W,333595,171757,505352
541,08/03/2009,W,945629,612506,1558135
542,02/16/2006,W,930188,613347,1543535
543,06/25/2021,W,343853,251904,595757
544,11/11/2010,W,882944,660145,1543089
545,01/24/2011,W,972155,654573,1626728
546,09/07/2009,U,463198,299374,762572
547,11/01/2018,W,866316,798312,1664628
548,03/13/2005,U,393195,205254,598449
549,05/20/2022,W,458078,321127,779205
550,05/02/2006,W,1045233,664946,1710179
551,10/11/2003,A,628499,366667,995166
552,07/19/2012,W,929760,737674,1667434
553,11/08/2018,W,841232,797333,1638565
554,09/28/2009,W,1025351,659478,1684829
555,02/19/2001,W,782447,457891,1240338
556,01/31/2016,U,358361,293056,651417
557,04/11/2003,W,912918,600667,1513585
558,02/26/2014,W,884516,728685,1613201
559,10/28/2012,U,454048,341936,795984
560,06/17/2004,W,938259,585309,1523568
561,10/08/2007,W,857090,563619,1420709
562,06/13/2020,A,206386,81727,288113
563,03/29/2018,W,692129,686014,1378143
564,08/02/2014,A,592660,571486,1164146
565,05/05/2022,W,464544,329241,793785
566,10/02/2001,W,1078342,658020,1736362
567,10/17/2021,U,219929,196386,416315
568,11/02/2021,W,463908,319122,783030
569,01/08/2016,W,841494,732495,1573989
570,06/08/2008,U,494209,281814,776023
571,01/03/2006,W,772171,540341,1312512
572,01/19/2002,A,556405,273407,829812
573,03/29/2024,W,480044,313507,793551
574,03/15/2012,W,1061219,763525,1824744
575,07/21/2006,W,931578,676491,1608069
576,04/25/2005,W,1003896,610619,1614515
577,04/27/2017,W,807318,748983,1556301
578,09/15/2012,A,707625,533074,1240699
579,07/05/2007,W,933153,655871,1589024
580,09/09/2021,W,471953,326271,798224
581,06/07/2001,W,1004748,646177,1650925
582,03/17/2017,W,804320,732007,1536327
583,07/07/2010,W,911994,656096,1568090
584,07/16/2017,U,371692,374578,746270
585,09/29/2015,W,914286,822855,1737141
586,03/23/2009,W,1007657,598236,1605893
587,07/20/2007,W,959207,655992,1615199
588,12/08/2003,W,975766,586022,1561788
589,12/04/2018,W,835143,745696,1580839
590,08/17/2001,W,929083,598538,1527621
591,07/14/2019,U,386786,362994,749780
592,11/17/2016,W,873693,811240,1684933
593,02/11/2008,W,818840,559672,1378512
594,08/28/2004,A,548649,297684,846333
595,07/27/2004,W,885055,590244,1475299
596,09/16/2017,A,517447,521275,1038722
597,02/03/2001,A,611703,263612,875315
598,07/24/2011,U,440442,346005,786447
599,09/10/2001,W,1075781,661092,1736873
600,09/16/2001,U,417392,191270,608662
601,03/14/2010,U,428683,273849,702532
602,02/02/2005,W,1046742,599354,1646096
603,08/07/2020,W,326107,164886,490993
604,12/07/2014,U,397656,334688,732344
605,06/17/2011,W,1038570,787772,1826342
606,12/25/2023,U,145433,80206,225639
607,04/17/2004,A,596237,331377,927614
608,08/21/2023,W,551302,343866,895168
609,12/24/2008,W,626374,339616,965990
610,12/11/2019,W,753922,692730,1446652
611,03/08/2017,W,858498,751336,1609834
612,05/17/2001,W,1006118,628882,1635000
613,08/20/2023,U,296344,239159,535503
614,09/20/2008,A,791707,447679,1239386
615,08/24/2014,U,432777,387171,819948
616,01/17/2024,W,466850,322741,789591
617,05/31/2018,W,819988,753062,1573050
618,04/19/2012,W,989282,743350,1732632
619,06/28/2015,U,439944,577866,1017810
620,02/16/2001,W,1033040,601418,1634458
621,10/23/2003,W,1008328,644198,1652526
622,08/15/2002,W,920323,599375,1519698
623,08/21/2009,W,946374,633411,1579785
624,03/31/2017,W,839312,737168,1576480
625,07/31/2009,W,997830,674810,1672640
626,04/26/2021,W,337128,176283,513411
627,06/27/2001,W,944274,634994,1579268
628,05/13/2001,U,422270,200996,623266
629,04/08/2001,U,437035,200720,637755
630,02/13/2019,W,795205,728764,1523969
631,08/01/2013,W,950707,753887,1704594
632,03/06/2007,W,1004928,611416,1616344
633,04/13/2002,A,631465,308737,940202
634,03/03/2024,U,298601,184885,483486
635,11/05/2014,W,990008,827900,1817908
636,04/29/2006,A,574038,343244,917282
637,03/05/2008,W,1059027,620660,1679687
638,05/30/2017,W,802596,722529,1525125
639,12/20/2012,W,876460,660268,1536728
640,03/06/2021,A,228890,124851,353741
641,05/16/2004,U,418466,214886,633352
642,07/21/2011,W,901635,693073,1594708
643,02/29/2004,U,413029,208258,621287
644,01/27/2016,W,882832,768241,1651073
645,11/06/2012,W,1050908,768986,1819894
646,02/04/2012,A,661534,418503,1080037
647,09/02/2015,W,882052,792561,1674613
648,09/15/2005,W,1070331,702096,1772427
649,09/05/2009,A,701349,428069,1129418
650,08/16/2006,W,878842,620892,1499734
651,04/20/2014,U,399289,333380,732669
652,03/18/2010,W,1036643,690207,1726850
653,10/17/2008,W,1162723,709679,1872402
654,05/04/2004,W,1025965,615968,1641933
655,01/11/2012,W,1036505,709539,1746044
656,05/14/2023,U,233363,156364,389727
657,08/04/2012,A,639837,540564,1180401
658,09/03/2008,W,1166955,710304,1877259
659,05/22/2003,W,967683,590893,1558576
660,09/23/2003,W,1023379,655433,1678812
661,01/12/2002,A,565955,266826,832781
662,05/23/2024,W,609570,457738,1067308
663,09/10/2008,W,1167063,719905,1886968
664,08/07/2005,U,457639,261349,718988
665,10/01/2019,W,905477,772082,1677559
666,12/12/2014,W,912339,773048,1685387
